"filename", "language", "Markdown", "Java", "XML", "SQL", "comment", "blank", "total"
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherEdit.class", "Java", 0, 95, 0, 0, 0, 0, 95
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherPanel$1.class", "Java", 0, 8, 0, 0, 0, 0, 8
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherPanel$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherPanel$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherPanel$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherPanel$5.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherPanel$6.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherPanel$7.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherPanel.class", "Java", 0, 110, 0, 0, 39, 0, 149
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanEdit$1.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanEdit$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanEdit$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanEdit$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanEdit.class", "Java", 0, 92, 0, 0, 0, 0, 92
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanPanel$1.class", "Java", 0, 8, 0, 0, 0, 0, 8
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanPanel$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanPanel$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanPanel$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanPanel$5.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\WatchmanPanel$6.class", "Java", 0, 11, 0, 0, 0, 0, 11
